City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,takoradi,4.8845,-1.7554,23.74,86,100,3.98,GH,1691038549
275,nemuro,43.3236,145.575,19.05,91,100,5.08,JP,1691038550
276,puerto baquerizo moreno,-0.9,-89.6,23.82,79,6,4.65,EC,1691038351
277,saldanha,-33.0117,17.9442,9.03,46,51,5.85,ZA,1691038551
278,floro,61.5996,5.0328,14.98,94,40,1.54,NO,1691038552
279,vila velha,-20.3297,-40.2925,17.19,93,0,0.51,BR,1691038552
280,kabo,7.6994,18.629,21.13,98,100,0.47,CF,1691038553
281,bonthe,7.5264,-12.505,24.81,90,91,3.69,SL,1691038553
282,portland,45.5234,-122.6762,25.32,49,0,3.6,US,1691038066
283,laojunmiao,39.8333,97.7333,27.61,21,11,4.2,CN,1691038554
284,wattegama,6.7989,81.4808,35.64,33,26,3.41,LK,1691038555
285,el sauzal de rodriguez,31.9,-116.6833,20.79,81,9,2.58,MX,1691038556
286,alpine,32.835,-116.7664,21.8,63,0,2.06,US,1691038509
287,ciudad lazaro cardenas,17.9583,-102.2,27.39,84,100,0.66,MX,1691038401
288,suntar,62.1444,117.6319,27.16,29,5,0.97,RU,1691038557
289,quelimane,-17.8786,36.8883,16.97,93,75,5.36,MZ,1691038558
290,bubaque,11.2833,-15.8333,26.22,85,100,5.53,GW,1691038558
291,kingaroy,-26.5333,151.8333,20.92,39,29,5.86,AU,1691038559
292,san patricio,28.017,-97.5169,29.92,75,11,5.17,US,1691038560
293,xai-xai,-25.0519,33.6442,17.55,71,89,2.66,MZ,1691038560
294,mount gambier,-37.8333,140.7667,17.74,55,67,6.29,AU,1691038561
295,quibdo,5.6947,-76.6611,24.07,98,100,0.54,CO,1691038561
296,castillos,-34.1667,-53.8333,12.05,62,98,5.64,UY,1691038562
297,cadale,2.7603,46.3222,25.45,79,100,8.34,SO,1691038562
298,talcahuano,-36.7167,-73.1167,6.82,76,0,2.57,CL,1691038563
299,jayapura,-2.5333,140.7,29.66,76,88,1.61,ID,1691038564
300,constantia,44.1833,28.65,21.38,62,1,2.67,RO,1691038446
301,kathmandu,27.7167,85.3167,28.12,73,40,2.06,NP,1691038035
302,itoman,26.1247,127.6694,29.01,84,75,13.89,JP,1691038565
303,san antonio de pale,-1.4014,5.6325,22.11,77,88,2.87,GQ,1691038566
304,buncrana,55.1333,-7.45,13.37,90,100,6.96,IE,1691038566
305,brookings,44.3114,-96.7984,25.1,84,0,4.12,US,1691038339
306,flin flon,54.7682,-101.865,16.48,75,69,2.67,CA,1691038568
307,jennings,38.7192,-90.2604,24.01,94,100,2.57,US,1691038569
308,kahuta,33.5913,73.3868,31.03,58,38,2.31,PK,1691038569
309,ust'-ilimsk,58.0006,102.6619,25.75,30,25,2.51,RU,1691038355
310,gerash,27.6652,54.1371,34.08,31,5,0.93,IR,1691038570
311,shubarshi,48.5872,57.1869,28.64,29,4,2.74,KZ,1691038571
312,orsta,62.2029,6.1272,15.76,88,100,0.0,NO,1691038571
313,peterhead,57.5058,-1.7981,13.22,95,100,9.04,GB,1691038572
314,sangju,36.4153,128.1606,34.77,51,78,3.25,KR,1691038573
315,dahab,28.501,34.5134,32.26,40,0,4.54,EG,1691038573
316,makhambet,47.6667,51.5833,32.34,21,72,2.15,KZ,1691038574
317,rio brilhante,-21.8019,-54.5464,19.11,44,0,1.71,BR,1691038574
318,horta,38.5333,-28.6333,22.79,86,100,4.92,PT,1691038575
319,geraldton,-28.7667,114.6,16.23,63,75,6.69,AU,1691038577
320,kuqa,41.7278,82.9364,31.66,23,100,2.73,CN,1691038577
